GardID	Name	Synonym	Matched Term
GARD:0000001	gracile syndrome	Fellman disease	disease
GARD:0000001	gracile syndrome	Fellman syndrome	syndrome
GARD:0000004	dipetalonemiasis	Dipetalonema infection	infection
GARD:0000005	abetalipoproteinemia	abetalipoproteinemia neuropathy	neuropathy
GARD:0000005	abetalipoproteinemia	familial hypobetalipoproteinemia	familial
GARD:0000006	acromesomelic dysplasia	acromesomelic dwarfism	dwarfism
GARD:0000012	hypersensitivity pneumonitis	allergic pneumonitis	allergic
GARD:0000013	aniridia-cerebellar ataxia-intellectual disability syndrome	gillespie syndrome	syndrome
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	pyrimidinemia, familial	familial
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	Dpyd deficiency	deficiency
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	familial pyrimidinaemia	familial
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	familial pyrimidinemia	familial
GARD:0000027	cat-scratch disease	benign lymphoreticulosis	benign
GARD:0000043	mosaic trisomy 9	trisomy 9 mosaicism	trisomy
GARD:0000043	mosaic trisomy 9	trisomy 9 mosaicism	mosaicism
GARD:0000046	corticobasal degeneration disorder	corticobasal degeneration	degeneration
GARD:0000046	corticobasal degeneration disorder	corticobasal syndrome	syndrome
GARD:0000059	spinocerebellar ataxia type 34	spinocerebellar ataxia 34	spinocerebellar
GARD:0000059	spinocerebellar ataxia type 34	spinocerebellar ataxia 34	ataxia
GARD:0000059	spinocerebellar ataxia type 34	erythrokeratodermia - ataxia	ataxia
GARD:0000065	Galloway-Mowat syndrome	Galloway syndrome	syndrome
GARD:0000068	Hypoglossia-hypodactyly syndrome	Jussieu syndrome	syndrome
GARD:0000068	Hypoglossia-hypodactyly syndrome	hanhart syndrome	syndrome
GARD:0000079	metaphyseal chondrodysplasia, jansen type	Jansen disease	disease
GARD:0000083	autosomal dominant kenny-caffey syndrome	Kenny syndrome	syndrome
GARD:0000085	thanatophoric dysplasia	dwarfism thanatophoric	dwarfism
GARD:0000085	thanatophoric dysplasia	thanatophoric dwarfism	dwarfism
GARD:0000087	microphthalmia, lenz type	microphthalmia syndromic 1	microphthalmia
GARD:0000087	microphthalmia, lenz type	microphthalmia syndromic 1	syndromic
GARD:0000087	microphthalmia, lenz type	Lenz dysplasia	dysplasia
GARD:0000087	microphthalmia, lenz type	Lenz microphthalmia	microphthalmia
GARD:0000091	childhood malignant melanoma	childhood melanoma	childhood
GARD:0000091	childhood malignant melanoma	childhood melanoma	melanoma
GARD:0000092	mal de meleda	meleda disease	disease
GARD:0000094	mucolipidosis type iv	mucolipidosis type 4	type
GARD:0000094	mucolipidosis type iv	Berman syndrome	syndrome
GARD:0000095	mulibrey nanism	Perheentupa syndrome	syndrome
GARD:0000095	mulibrey nanism	mulibrey dwarfism	dwarfism
GARD:0000101	centronuclear myopathy	myopathy, myotubular	myopathy
GARD:0000101	centronuclear myopathy	myopathy, centronuclear	myopathy
GARD:0000101	centronuclear myopathy	myotubular myopathy	myopathy
GARD:0000104	Ochoa syndrome	urofacial syndrome	syndrome
GARD:0000105	oculocerebral hypopigmentation syndrome, cross type	Cross syndrome	syndrome
GARD:0000105	oculocerebral hypopigmentation syndrome, cross type	Kramer syndrome	syndrome
GARD:0000106	oculocerebrocutaneous syndrome	Delleman syndrome	syndrome
GARD:0000115	sakati-nyhan syndrome	Sakati syndrome	syndrome
GARD:0000115	sakati-nyhan syndrome	acrocephalopolysyndactyly type 3	type
GARD:0000118	ulnar-mammary syndrome	schinzel syndrome	syndrome
GARD:0000121	focal facial dermal dysplasia type iii	Setleis syndrome	syndrome
GARD:0000134	spondyloepimetaphyseal dysplasia, strudwick type	Smed, type 1	type
GARD:0000134	spondyloepimetaphyseal dysplasia, strudwick type	spondylometaphyseal dysplasia	dysplasia
GARD:0000134	spondyloepimetaphyseal dysplasia, strudwick type	Strudwick syndrome	syndrome
GARD:0000140	atresia of small intestine	Jejunoileal atresia	atresia
GARD:0000140	atresia of small intestine	jejunal atresia	atresia
GARD:0000155	laurin-sandrow syndrome	Sandrow syndrome	syndrome
GARD:0000159	scalp-ear-nipple syndrome	Sen syndrome	syndrome
GARD:0000160	Satoyoshi syndrome	Komuragaeri disease	disease
GARD:0000180	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	Epstein syndrome	syndrome
